molecule_chembl_id,canonical_smiles,standard_value
CHEMBL217926,O=C(Nc1ccccc1)C1CC(=O)N(C2CCCCC2)C1,10660.0
CHEMBL216547,O=C(Nc1ccccc1Br)C1CC(=O)N(C2CCCCC2)C1,100000.0
CHEMBL213720,O=C(Nc1ccc2c(c1)OCCO2)C1CC(=O)N(C2CCCCC2)C1,100000.0
CHEMBL217274,Cc1cccc(C)c1NC(=O)C1CC(=O)N(C2CCCCC2)C1,100000.0
CHEMBL217773,O=C(Nc1ccc(Oc2ccccc2)cc1)C1CC(=O)N(C2CCCCC2)C1,100000.0
CHEMBL217273,CCOc1ccc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)cc1,100000.0
CHEMBL216781,CC(=O)Nc1cccc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)c1,75000.0
CHEMBL265016,O=C(Nc1ccc(Cl)cc1)C1CC(=O)N(C2CCCCC2)C1,100000.0
CHEMBL217524,O=C(Nc1ccc(F)c(Cl)c1)C1CC(=O)N(C2CCCCC2)C1,14830.0
CHEMBL384149,COc1ccc(Cl)cc1NC(=O)C1CC(=O)N(C2CCCCC2)C1,1600.0
CHEMBL216339,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C1CC(=O)N(C2CCCCC2)C1,3670.0
CHEMBL216704,COc1cc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)cc(C(F)(F)F)c1,1300.0
CHEMBL386324,O=C(Nc1cc(Br)cc(C(F)(F)F)c1)C1CC(=O)N(C2CCCCC2)C1,850.0
CHEMBL216807,O=C(Nc1cc(Cl)cc(Cl)c1)C1CC(=O)N(C2CCCCC2)C1,390.0
CHEMBL385294,O=C(Nc1cc(F)cc(F)c1)C1CC(=O)N(C2CCCCC2)C1,1490.0
CHEMBL217617,Cc1cc([N+](=O)[O-])ccc1NC(=O)C1CC(=O)N(C2CCCCC2)C1,31370.0
CHEMBL444361,Cc1c(Cl)cccc1NC(=O)C1CC(=O)N(C2CCCCC2)C1,23120.0
CHEMBL387186,Cc1cc(C)cc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)c1,3140.0
CHEMBL216887,Cc1ccc(C)c(NC(=O)C2CC(=O)N(C3CCCCC3)C2)c1,10050.0
CHEMBL216748,Cc1cc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)ccc1Br,37410.0
CHEMBL425259,Cc1ccc(Cl)cc1NC(=O)C1CC(=O)N(C2CCCCC2)C1,970.0
CHEMBL215081,O=C(Nc1cc(Cl)ccc1Cl)C1CC(=O)N(C2CCCCC2)C1,56500.0
CHEMBL217144,O=C(Nc1ccc(Cl)cc1Cl)C1CC(=O)N(C2CCCCC2)C1,56020.0
CHEMBL217272,CC(=O)c1ccc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)cc1,73580.0
CHEMBL426150,CC(=O)Nc1ccc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)cc1,100000.0
CHEMBL387284,CC(C)c1cccc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)c1,5550.0
CHEMBL216786,O=C(Nc1cccc([N+](=O)[O-])c1)C1CC(=O)N(C2CCCCC2)C1,10590.0
CHEMBL411394,O=C(Nc1cccc(C(F)(F)F)c1)C1CC(=O)N(C2CCCCC2)C1,3510.0
CHEMBL214484,Cc1cccc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)c1,16790.0
CHEMBL386252,O=C(Nc1ccc(I)cc1)C1CC(=O)N(C2CCCCC2)C1,14500.0
CHEMBL217588,O=C(Nc1cccc(Cl)c1)C1CC(=O)N(C2CCCCC2)C1,1350.0
CHEMBL439530,O=C(Nc1ccc(Br)cc1)C1CC(=O)N(C2CCCCC2)C1,28020.0
CHEMBL385214,O=C(Nc1cccc(Br)c1)C1CC(=O)N(C2CCCCC2)C1,890.0
CHEMBL217864,COC(=O)c1ccccc1NC(=O)C1CC(=O)N(C2CCCCC2)C1,34880.0
CHEMBL217499,O=C(C1CC(=O)N(C2CCCCC2)C1)N1CCc2ccccc21,5100.0
CHEMBL441373,O=C(Nc1cccc(-c2ccccc2)c1)C1CC(=O)N(C2CCCCC2)C1,390.0
CHEMBL262471,O=C(C1CC(=O)N(C2CCCCC2)C1)N1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,5510.0
CHEMBL215478,O=C(C1CC(=O)N(C2CCCCC2)C1)N1CCN(C(c2ccccc2)c2ccc(F)cc2)CC1,6410.0
CHEMBL217879,Cc1ccc(C(c2ccccc2)N2CCN(C(=O)C3CC(=O)N(C4CCCCC4)C3)CC2)cc1,5180.0
CHEMBL213872,CCn1c2ccccc2c2cc(NC(=O)C3CC(=O)N(C4CCCCC4)C3)ccc21,2570.0
CHEMBL216512,O=C(C1CC(=O)N(C2CCCCC2)C1)N1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,4470.0
CHEMBL424903,O=C(Nc1cccc(OCc2ccccc2)c1)C1CC(=O)N(C2CCCCC2)C1,3390.0
CHEMBL386655,O=C(Nc1cccc2c1Cc1ccccc1-2)C1CC(=O)N(C2CCCCC2)C1,1390.0
CHEMBL217594,CN(Cc1c2ccccc2cc2ccccc12)C(=O)C1CC(=O)N(C2CCCCC2)C1,750.0
CHEMBL424724,O=C(Nc1cccc(Cc2ccccc2)c1)C1CC(=O)N(C2CCCCC2)C1,410.0
CHEMBL216642,O=C(Nc1cccc(Cl)c1)C1CC(=O)N(c2ccccc2)C1,3940.0
CHEMBL216299,Cc1ccc(N2CC(C(=O)Nc3cccc(Br)c3)CC2=O)cc1C,100000.0
CHEMBL216063,Cc1ccc(N2CC(C(=O)Nc3cccc(Br)c3)CC2=O)cc1,100000.0
CHEMBL216759,O=C(Nc1cccc(Br)c1)C1CC(=O)N(c2ccc(F)cc2)C1,29230.0
CHEMBL217204,O=C(Nc1cccc(Br)c1)C1CC(=O)N(c2ccccc2)C1,13550.0
CHEMBL217375,Cc1c(Cl)cccc1NC(=O)C1CC(=O)N(c2ccc(OC(C)C)cc2)C1,100000.0
CHEMBL215014,Cc1ccc(N2CC(C(=O)Nc3cccc(Cl)c3C)CC2=O)cc1,100000.0
CHEMBL274325,Cc1c(Cl)cccc1NC(=O)C1CC(=O)N(c2ccc(Br)cc2)C1,100000.0
CHEMBL217808,Cc1c(Cl)cccc1NC(=O)C1CC(=O)N(c2cccc([N+](=O)[O-])c2)C1,100000.0
CHEMBL385297,Cc1c(Cl)cccc1NC(=O)C1CC(=O)N(c2ccccc2)C1,100000.0
CHEMBL415226,CCCOc1ccc(N2CC(C(=O)Nc3cccc(Cl)c3)CC2=O)cc1,100000.0
CHEMBL217885,Cc1ccc(N2CC(C(=O)Nc3cccc(Cl)c3)CC2=O)cc1,100000.0
CHEMBL217852,O=C(Nc1cccc(-c2ccccc2)c1)C1CC(=O)N(C2CC3CCC2C3)C1,460.0
CHEMBL385650,O=C(Nc1cc(-c2ccccc2)c(O)c(-c2ccccc2)c1)C1CC(=O)N(C2CCCCCCC2)C1,1290.0
CHEMBL414086,CN(Cc1c2ccccc2cc2ccccc12)C(=O)C1CC(=O)N(C2CCCCCCC2)C1,620.0
CHEMBL217057,O=C(Nc1cc(-c2ccccc2)c(O)c(-c2ccccc2)c1)C1CC(=O)N(C2CCCCCC2)C1,270.0
CHEMBL386329,CN(Cc1c2ccccc2cc2ccccc12)C(=O)C1CC(=O)N(C2CCCCCC2)C1,320.0
CHEMBL216689,O=C(Nc1cc(-c2ccccc2)c(O)c(-c2ccccc2)c1)C1CC(=O)N(C2CCCCC2)C1,140.0
CHEMBL426702,CN(Cc1c2ccccc2cc2ccccc12)C(=O)C1CC(=O)N(C2CC3CCC2C3)C1,850.0
CHEMBL539344,Cl.Cl.O=C(Nc1cc(-c2ccccc2)c(O)c(-c2ccccc2)c1)C1CC(=O)N(C2CCCCC2)C1,62.0
CHEMBL240734,O=C(c1ccccc1)N1CCN(c2ccccc2)CC1,38860.0
CHEMBL240531,Cc1cccc(C(=O)N2CCC(Cc3ccccc3)CC2)c1,7390.0
CHEMBL240530,Cc1ccc(C(=O)N2CCC(Cc3ccccc3)CC2)cc1,5160.0
CHEMBL437002,O=C(c1ccccc1F)N1CCC(Cc2ccccc2)CC1,14110.0
CHEMBL240318,O=C(c1cccc(Cl)c1)N1CCC(Cc2ccccc2)CC1,7740.0
CHEMBL240317,O=C(c1ccccc1)N1CCN(Cc2ccccc2)CC1,31500.0
CHEMBL240316,O=C(c1ccc(Cl)c(Cl)c1)N1CCN(c2ccccc2)CC1,17620.0
CHEMBL429994,O=C(c1ccc(Cl)c(Cl)c1)N1CCN(c2cccc(Cl)c2)CC1,6050.0
CHEMBL240105,O=C(c1cccc(Cl)c1)N1CCN(c2cccc(Cl)c2)CC1,6730.0
CHEMBL239674,O=C(c1ccc(F)cc1)N1CCN(c2cccc(Cl)c2)CC1,9740.0
CHEMBL394433,O=C(c1ccccc1F)N1CCN(c2cccc(Cl)c2)CC1,13870.0
CHEMBL429275,Cc1ccc(N2CCN(C(=O)c3ccc(C(C)(C)C)cc3)CC2)cc1Cl,100000.0
CHEMBL239892,CC(C)(C)c1ccc(C(=O)N2CCN(c3cccc(C(F)(F)F)c3)CC2)cc1,100000.0
CHEMBL239891,CC(C)(C)c1ccc(C(=O)N2CCN(c3cccc(Cl)c3)CC2)cc1,100000.0
CHEMBL394432,CC(C)c1ccc(C(=O)N2CCN(c3cccc(Cl)c3)CC2)cc1,100000.0
CHEMBL239890,Cc1ccc(C(=O)N2CCN(c3cccc(C(F)(F)F)c3)CC2)cc1C,1850.0
CHEMBL239673,Cc1ccc(C(=O)N2CCN(c3cccc(Cl)c3)CC2)cc1C,990.0
CHEMBL398032,Cc1cccc(C(=O)N2CCN(c3ccc([N+](=O)[O-])cc3)CC2)c1,15470.0
CHEMBL239459,Cc1cccc(C(=O)N2CCN(c3cccc(Cl)c3)CC2)c1,9430.0
CHEMBL430180,Cc1ccc(C(=O)N2CCN(c3cccc(Cl)c3)CC2)cc1,3070.0
CHEMBL398031,Cc1ccc(C(=O)N2CCN(c3cccc(C(F)(F)F)c3)CC2)cc1,6260.0
CHEMBL239457,Cc1ccc(C(=O)N2CCN(c3ccccc3)CC2)cc1,16640.0
CHEMBL240957,O=C(c1ccccc1)N1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,2040.0
CHEMBL240740,Cc1ccc(C(=O)N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,1890.0
CHEMBL240739,O=C(c1ccc2[nH]ccc2c1)N1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1040.0
CHEMBL216579,O=C(c1ccc2[nH]ccc2c1)N1CCN(C2c3ccccc3-c3ccccc32)CC1,200.0
CHEMBL240533,O=C(c1ccccc1)N1CCN(C2c3ccccc3-c3ccccc32)CC1,90.0
CHEMBL392127,Cc1ccc(C(=O)N2CCN(C3c4ccccc4-c4ccccc43)CC2)cc1,400.0
CHEMBL250087,NC(=O)c1cc([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)ccc1Oc1ccccc1,27000.0
CHEMBL264682,CCCCCCc1ccc(Oc2ccccc2)c(O)c1,11.0
CHEMBL264679,CCCCCCc1ccc(Oc2ccccn2)c(O)c1,11500.0
CHEMBL258932,CCCCCCc1ccc(Oc2cnccn2)c(O)c1,650.0
CHEMBL258931,CCCCCCc1ccc(Oc2ncccn2)c(O)c1,8200.0
CHEMBL259138,CCCCCCc1ccc(Oc2ccncc2)c(O)c1,160.0
CHEMBL405655,CCCCCCc1ccc(Oc2cccnc2)c(O)c1,236.0
CHEMBL429332,CCCCCCc1ccc(Oc2ncccn2)c(OC)c1,100000000.0
CHEMBL261355,CCCCCCc1ccc(Oc2ccc(CN3CCN(C)CC3)cc2)c(O)c1,306.0
CHEMBL408149,CCCCCCc1ccc(Oc2ccccc2CN2CCN(C)CC2)c(O)c1,1315.0
CHEMBL260399,CCCCCCc1ccc(Oc2ccc(NC(=O)c3ccno3)cc2)c(O)c1,130.0
CHEMBL405653,CCCCCCc1ccc(Oc2cccc(NC(=O)c3ccno3)c2)c(O)c1,1200.0
CHEMBL428967,CCCCCCc1ccc(Oc2ccccc2NC(=O)c2ccno2)c(O)c1,3220.0
CHEMBL262343,CCCCCCc1ccc(Oc2ccc(NC(=O)C(=O)O)cc2)c(O)c1,1930.0
CHEMBL263646,CCCCCCc1ccc(Oc2cccc(NC(=O)C(=O)O)c2)c(O)c1,580.0
CHEMBL407324,CCCCCCc1ccc(Oc2ccccc2NC(=O)C(=O)O)c(O)c1,2360.0
CHEMBL262360,CCCCCCc1ccc(Oc2ccc(NC(C)=O)cc2)c(O)c1,1300.0
CHEMBL404983,CCCCCCc1ccc(Oc2cccc(NC(C)=O)c2)c(O)c1,5600.0
CHEMBL264176,CCCCCCc1ccc(Oc2ccccc2NC(C)=O)c(O)c1,1550.0
CHEMBL264175,CCCCCCc1ccc(Oc2ccc(N)cc2)c(O)c1,55.0
CHEMBL404984,CCCCCCc1ccc(Oc2cccc(N)c2)c(O)c1,1090.0
CHEMBL264434,CCCCCCc1ccc(Oc2ccccc2N)c(O)c1,62.0
CHEMBL264417,CCCCCCc1ccc(Oc2ccc([N+](=O)[O-])cc2)c(O)c1,90.0
CHEMBL264416,CCCCCCc1ccc(Oc2cccc([N+](=O)[O-])c2)c(O)c1,48.0
CHEMBL264415,CCCCCCc1ccc(Oc2ccccc2[N+](=O)[O-])c(O)c1,180.0
CHEMBL454588,C/C=C(\C)c1cc(O)c(C)c(OC(=O)c2c(/C(C)=C/C)cc(O)c(C)c2O)c1,75000.0
CHEMBL849,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,3000.0
CHEMBL549456,Cc1ccc(OC(=O)c2ccccc2[N+](=O)[O-])c(Br)c1,9550.0
CHEMBL564612,O=C(Nc1cc(Cl)cc(Cl)c1)c1ccccc1[N+](=O)[O-],6170.0
CHEMBL551621,Cc1ccc(NC(=O)c2sc3ccccc3c2Cl)cc1[N+](=O)[O-],2140.0
CHEMBL552222,CCN(CC)c1ccc(NC(=O)c2ccccc2[N+](=O)[O-])cc1,4370.0
CHEMBL540477,Cc1cc(Cl)ccc1OCC(=O)Nc1cccc([N+](=O)[O-])c1C,3470.0
CHEMBL550610,CCN(CC)c1ccc(/C=C2/SC(N3CCCCC3)=NC2=O)cc1,6170.0
CHEMBL570080,O=C(Nc1cc(Cl)c(Cl)cc1Cl)c1ccccc1[N+](=O)[O-],12020.0
CHEMBL553790,O=[N+]([O-])c1cc(/N=C/c2ccc(Cl)cc2Cl)ccc1Cl,4680.0
CHEMBL557836,COc1ccc(/C=C2/SC(N3CCC(C)CC3)=NC2=O)cc1OC,10720.0
CHEMBL561485,COc1ccc(/C=C2/SC(N3CCCCC3)=NC2=O)cc1OC,11480.0
CHEMBL558660,COc1cc(NC(=O)c2ccc(C)cc2[N+](=O)[O-])cc(OC)c1,1350.0
CHEMBL539723,COc1ccc(/C=C2\SC(N3CCCCCC3)NC2=O)cc1OC,10960.0
CHEMBL558336,O=C(Nc1ccc(Cl)cc1Cl)c1ccccc1[N+](=O)[O-],19950.0
CHEMBL571677,COc1ccc(/C=C2/SC(N3CCCC3)=NC2=O)cc1OC,7240.0
CHEMBL554270,CCOC(=O)C1=C(C)N/C(=C/c2cc(OC)ccc2OC)C1=O,3630.0
CHEMBL565062,COC(=O)c1c(NC(=O)c2ccccc2[N+](=O)[O-])sc2c1CCC2,1820.0
CHEMBL558464,CCN(CC)c1ccc(/C=C2/N=C(c3ccccc3)OC2=O)cc1,3310.0
CHEMBL560086,Cc1ccc(NC(=O)c2ccccc2[N+](=O)[O-])c(C)c1,10470.0
CHEMBL540475,COc1cc(Cl)ccc1NC(=O)c1ccc(C)c([N+](=O)[O-])c1,5010.0
CHEMBL551683,Cc1ccc(C(=O)Nc2ccc(Cl)cc2Cl)cc1[N+](=O)[O-],8710.0
CHEMBL550334,COc1ccc(Cl)cc1NC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,4070.0
CHEMBL560605,O=C(Nc1cc(Cl)ccc1Cl)c1ccc(Cl)c([N+](=O)[O-])c1,19950.0
CHEMBL560606,O=C(Nc1ccc(Cl)c(Cl)c1)c1ccc(Cl)c([N+](=O)[O-])c1,52480.0
CHEMBL550333,COc1ccc(Cl)cc1NC(=O)c1ccc(OC)c([N+](=O)[O-])c1,5010.0
CHEMBL560684,COc1ccc(C(=O)Nc2cc(Cl)cc(Cl)c2)cc1[N+](=O)[O-],7080.0
CHEMBL558073,COc1ccc(C(=O)Nc2cc(Cl)ccc2Cl)cc1[N+](=O)[O-],13800.0
CHEMBL539395,COc1ccc(OC)c(/C=N/NC2=CS(=O)(=O)c3ccccc32)c1,5130.0
CHEMBL559811,O=C1N=C(Nc2cc(Cl)cc(Cl)c2)S/C1=C/c1ccco1,17780.0
CHEMBL560683,COc1cc(Cl)cc(/C=C2/SC(c3ccccc3)=NC2=O)c1O,10470.0
CHEMBL565129,CCOc1ccc(/C=C2/SC(c3ccccc3)=NC2=O)cc1C,10000.0
CHEMBL505886,CCCCCCCCc1ccc(Oc2ccccc2)c(O)c1,5.0
CHEMBL3087017,Cc1csc(C(C)(O)c2nnc(NC(=O)c3ccn(Cc4c(F)cccc4F)n3)s2)n1,34000.0
CHEMBL3087016,Cc1csc(C(C)(O)c2nnc(NCC3CN(Cc4c(F)cccc4F)C(=O)O3)s2)n1,400.0
CHEMBL3087015,Cc1csc(C(C)(O)c2nnc(Nc3cc(C4CC4)n(Cc4c(F)cccc4F)n3)s2)n1,970.0
CHEMBL3088178,Cc1csc(C(C)(O)c2nnc(Nc3nccc(Cc4c(F)cccc4F)n3)s2)n1,2.0
CHEMBL3088177,Cc1csc(C(C)(O)c2nnc(Nc3cccc(Cc4c(F)cccc4F)n3)s2)n1,2.0
CHEMBL3088176,Cc1csc(C(C)(O)c2nnc(NC(=O)Cc3c(F)cccc3F)s2)n1,200.0
CHEMBL3088175,Cc1csc(C(C)(O)c2nnc(Nc3ncn(Cc4c(F)cccc4F)n3)s2)n1,30.0
CHEMBL3088174,Cc1csc(C(C)(O)c2nnc(Nc3cnn(Cc4c(F)cccc4F)c3)s2)n1,234.0
CHEMBL3088173,Cc1csc(C(C)(O)c2nnc(Nc3ccn(Cc4c(F)cccc4F)n3)s2)n1,4.0
CHEMBL3088172,Cc1csc([C@](C)(O)c2nnc(Nc3ccn(Cc4c(F)cccc4F)n3)s2)n1,3.0
CHEMBL3088171,COC(=O)c1cnc2ccc(C#N)cc2c1NCCCc1ccccc1,20.0
CHEMBL3088170,O=C1CC(c2nc3ccccc3n2Cc2ccccc2)CN1C1CCCCC1,1000.0
CHEMBL1236225,CCCCCCc1ccc(Oc2ccccc2C)c(O)c1,22.0
CHEMBL2323585,CC/C(C)=C1\OC(=O)[C@H](C)[C@H](O)[C@H](Cc2cccnc2)NC(=O)[C@@H](NC(=O)c2ncccc2O)[C@@H](C)OC1=O,6000.0
CHEMBL3125235,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)NCc3ccccn3)N(C(=O)c3coc4ccccc34)C2)n(CC)n1,2.0
CHEMBL3125104,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)NCCO)N(C(=O)c3coc4ccccc34)C2)n(CC)n1,3.0
CHEMBL3125103,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)NCCc3ccccn3)N(C(=O)c3coc4ccccc34)C2)n(CC)n1,4.0
CHEMBL3125102,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)NCc3nc(C)no3)N(C(=O)c3coc4ccccc34)C2)n(CC)n1,4.0
CHEMBL3125101,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)NCc3ccc4c(c3)B(O)OC4)N(C(=O)c3coc4ccccc34)C2)n(CC)n1,2.0
CHEMBL3125270,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(N)=O)N(C(=O)c3coc4ccccc34)C2)n(CC)n1,4.0
CHEMBL3125269,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)NCC(=O)OC)N(C(=O)c3coc4ccccc34)C2)n(Cc2ccccc2)n1,1000.0
CHEMBL3125268,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)NCC(=O)OC)N(C(=O)c3coc4ccccc34)C2)n(CCO)n1,1000.0
CHEMBL3125267,CCCn1nc(CC)cc1C(=O)N[C@@H]1C[C@@H](C(=O)NCC(=O)OC)N(C(=O)c2coc3ccccc23)C1,11.0
CHEMBL3125266,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)NCC(=O)OC)N(C(=O)c3coc4ccccc34)C2)n(CC)n1,3.0
CHEMBL3125265,COC(=O)CNC(=O)[C@@H]1C[C@@H](NC(=O)c2cc(C3CC3)nn2C)CN1C(=O)c1coc2ccccc12,15.0
CHEMBL3125264,COC(=O)CNC(=O)[C@@H]1C[C@@H](NC(=O)c2cc(CC(C)C)nn2C)CN1C(=O)c1coc2ccccc12,1000.0
CHEMBL3125263,CCCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)NCC(=O)OC)N(C(=O)c3coc4ccccc34)C2)n(C)n1,22.0
CHEMBL3125262,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)NCc3ccc(C)o3)N(C(=O)c3coc4ccccc34)C2)n(C)n1,21.0
CHEMBL3125261,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)NCc3nc4ccccc4o3)N(C(=O)c3coc4ccccc34)C2)n(C)n1,3.0
CHEMBL3125260,CCc1cc(C(=O)N[C@@H]2C[C@@H](C(=O)NCc3nc(C)no3)N(C(=O)c3coc4ccccc34)C2)n(C)n1,7.0
